apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
124-31-007,"342 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1933,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.429078,-122.147072
124-31-008,"350 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,2009,none,37.428964,-122.147167
124-31-009,"360 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,2011,none,37.428849,-122.147262
124-31-010,"370 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1941,none,37.428734,-122.147356
124-31-011,"380 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,2011,none,37.428619,-122.147451
124-31-012,"390 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1924,none,37.428505,-122.147545
124-31-013,"404 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,6000,1930,none,37.42823,-122.14771
124-31-014,"410 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,2015,none,37.428137,-122.147848
124-31-015,"416 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7500,2005,Deemed NOT eligible for the CRHR or the NRHP in 1998 (Demolished),37.428023,-122.147943
124-31-016,"428 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1930,none,37.427908,-122.148037
124-31-017,"444 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,11249,1918,none,37.427834,-122.148236
124-31-018,"454 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7505,1908,none,37.427678,-122.148227
124-31-019,"2091 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,6271,1921,none,37.427401,-122.148248
124-31-019,"478 Oxford Av, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,6271,1921,none,37.427401,-122.148248
124-31-019,"480 Oxford Av, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,6271,1921,none,37.427401,-122.148248
124-31-019,"484 Oxford Av, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,6271,1921,none,37.427401,-122.148248
124-31-019,"482 Oxford Av, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,6271,1921,none,37.427401,-122.148248
124-31-020,"2087 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,5602,1939,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.427491,-122.148379
